date,id,colony_morphology,sample_site,Q
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",302-2,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",302-3,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",302-4,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",302-6,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",302-7,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",302-F2,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",304-1,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",304-2,2015.2
2015-04-10T00:00:00Z,EM-1,"Yellow, convex, circular",305-1,2015.2
2015-04-10T00:00:00Z,EM-1,"Yellow, convex, circular",307-1,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",311-2,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",311-6,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",315-1,2015.2
2015-04-09T00:00:00Z,EM-1,"Yellow, convex, circular",315-4,2015.2
2015-04-09T00:00:00Z,EM-10,"White, flat, irregular",311-7,2015.2
2015-04-23T00:00:00Z,EM-108,"Cream, convex, circular",306-D1,2015.2
2015-04-09T00:00:00Z,EM-11,"Cream, flat, expanding",302-F1,2015.2
2015-11-23T00:00:00Z,EM-1106,"Yellow, convex, circular",301-1,2015.4
2015-11-23T00:00:00Z,EM-1106,"Yellow, convex, circular",301-3,2015.4
2015-11-23T00:00:00Z,EM-1106,"Yellow, convex, circular",301-T2,2015.4
2015-11-23T00:00:00Z,EM-1106,"Yellow, convex, circular",304-0013,2015.4
2015-11-23T00:00:00Z,EM-1106,"Yellow, convex, circular",304-2,2015.4
2015-11-23T00:00:00Z,EM-1107,"White, flat, circular",301-1,2015.4
2015-11-23T00:00:00Z,EM-1107,"White, flat, circular",301-2,2015.4
2015-11-23T00:00:00Z,EM-1107,"White, flat, circular",304-2,2015.4
2015-11-23T00:00:00Z,EM-1107,"White, flat, circular",304-4,2015.4
2015-11-23T00:00:00Z,EM-1108,"White, flat, circular, with halo",301-1,2015.4
2015-11-23T00:00:00Z,EM-1108,"White, flat, circular, with halo",301-2,2015.4
2015-11-23T00:00:00Z,EM-1108,"White, flat, circular, with halo",301-3,2015.4
2015-11-23T00:00:00Z,EM-1109,"Cream, convex, circular",301-1,2015.4
2015-11-23T00:00:00Z,EM-1109,"Cream, convex, circular",304-1,2015.4
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",302-1,2015.2
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",302-7,2015.2
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",302-F1,2015.2
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",304-2,2015.2
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",311-1,2015.2
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",311-6,2015.2
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",311-1,2015.2
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",312-T5,2015.2
2015-04-30T00:00:00Z,EM-111,"white, flat, circular",315-2,2015.2
2015-11-23T00:00:00Z,EM-1110,"White, raised, irregular",301-1,2015.4
2015-11-23T00:00:00Z,EM-1111,"Yellow, umbonate, circular",301-2,2015.4
2015-11-23T00:00:00Z,EM-1112,"Translucent, flat, circular",301-2,2015.4
2015-11-23T00:00:00Z,EM-1112,"Translucent, flat, circular",301-3,2015.4
2015-11-23T00:00:00Z,EM-1113,"Yellow, convex, irregular",301-3,2015.4
2015-11-23T00:00:00Z,EM-1114,"Cream, flat, irregular",301-T1,2015.4
2015-11-23T00:00:00Z,EM-1114,"Cream, flat, irregular",304-1,2015.4
2015-11-23T00:00:00Z,EM-1115,"Translucent red, flat, circular",304-2,2015.4
2015-11-23T00:00:00Z,EM-1116,"White, convex, circular",304-2,2015.4
2015-11-23T00:00:00Z,EM-1117,"Cream, flat, circular",304-2,2015.4
2015-11-23T00:00:00Z,EM-1118,"White, flat, circular, bumpy center",304-3,2015.4
2015-11-23T00:00:00Z,EM-1119,"Orange, flat, circular, glossy",304-4,2015.4
2015-04-30T00:00:00Z,EM-112,"Cream, convex, circular, glossy",302-1,2015.2
2015-04-30T00:00:00Z,EM-112,"Cream, convex, circular, glossy",302-3,2015.2
2015-11-23T00:00:00Z,EM-1120,"Cream, irregular, wrinkled",301-F1,2015.4
2015-11-23T00:00:00Z,EM-1121,"Translucent brown, flat, irregular",301-F1,2015.4
2015-11-23T00:00:00Z,EM-1121,"Translucent brown, flat, irregular",304-F1,2015.4
2015-11-23T00:00:00Z,EM-1122,"Translucent white, flat, irregular",301-W1,2015.4
2015-11-23T00:00:00Z,EM-1123,"Yellow, convex, irregular, with halo",304-F2,2015.4
2015-11-23T00:00:00Z,EM-1124,"White, flat, irregular, with halo",304-F1,2015.4
2015-11-23T00:00:00Z,EM-1125 (M),"Grey mold, white border, white fuzz",304-1,2015.4
2015-11-23T00:00:00Z,EM-1126 (M),"Tan mold, opaque border",304-2,2015.4
2015-11-23T00:00:00Z,EM-1127 (M),"Grey mold, black border, white fuzz",304-2,2015.4
2015-11-25T00:00:00Z,EM-1128,"Yellow, convex, circular",301-1,2015.4
2015-11-25T00:00:00Z,EM-1128,"Yellow, convex, circular",301-2,2015.4
2015-11-25T00:00:00Z,EM-1128,"Yellow, convex, circular",301-3,2015.4
2015-11-25T00:00:00Z,EM-1128,"Yellow, convex, circular",304-1,2015.4
2015-11-25T00:00:00Z,EM-1128,"Yellow, convex, circular",304-3,2015.4
2015-11-25T00:00:00Z,EM-1128,"Yellow, convex, circular",304-5,2015.4
2015-11-25T00:00:00Z,EM-1129,"Cream, convex, circular",301-1,2015.4
2015-11-25T00:00:00Z,EM-1129,"Cream, convex, circular",304-1,2015.4
2015-11-25T00:00:00Z,EM-1129,"Cream, convex, circular",304-2,2015.4
2015-11-25T00:00:00Z,EM-1129,"Cream, convex, circular",304-3,2015.4
2015-11-25T00:00:00Z,EM-1129,"Cream, convex, circular",304-4,2015.4
2015-04-30T00:00:00Z,EM-113,"pink, convex, circular",302-1,2015.2
2015-11-25T00:00:00Z,EM-1130,"White, flat, circular, with halo",301-2,2015.4
2015-11-25T00:00:00Z,EM-1130,"White, flat, circular, with halo",301-3,2015.4
2015-11-25T00:00:00Z,EM-1130,"White, flat, circular, with halo",304-2,2015.4
2015-11-25T00:00:00Z,EM-1130,"White, flat, circular, with halo",304-F1,2015.4
2015-11-25T00:00:00Z,EM-1131,"Cream, convex, circular, with halo",301-2,2015.4
2015-11-25T00:00:00Z,EM-1131,"Cream, convex, circular, with halo",304-2,2015.4
2015-11-25T00:00:00Z,EM-1132,"White, convex, circular, glossy",301-2,2015.4
2015-11-25T00:00:00Z,EM-1132,"White, convex, circular, glossy",304-5,2015.4
2015-11-25T00:00:00Z,EM-1133,"White, convex, circular",301-3,2015.4
2015-11-25T00:00:00Z,EM-1133,"White, convex, circular",304-2,2015.4
2015-11-25T00:00:00Z,EM-1134,"Cream, convex, irregular",301-3,2015.4
2015-11-25T00:00:00Z,EM-1134,"Cream, convex, irregular",304-5,2015.4
2015-11-25T00:00:00Z,EM-1135,"Yellow, convex, circular, with halo",301-3,2015.4
2015-11-25T00:00:00Z,EM-1135,"Yellow, convex, circular, with halo",304-4,2015.4
2015-11-25T00:00:00Z,EM-1136,"Transparent, irregular, flat",301-3,2015.4
2015-11-25T00:00:00Z,EM-1137,"Yellow, convex, irregular",304-1,2015.4
2015-11-25T00:00:00Z,EM-1138,"White, convex, irregular, bumpy center, glossy",304-1,2015.4
2015-11-25T00:00:00Z,EM-1139,"White, flat, circular",304-1,2015.4
2015-11-25T00:00:00Z,EM-1139,"White, flat, circular",304-2,2015.4
2015-04-30T00:00:00Z,EM-114,"Cream, raised, Irregular",302-1,2015.2
2015-11-25T00:00:00Z,EM-1140,"Yellow, raised, irregular, wrinkled",304-2,2015.4
2015-11-25T00:00:00Z,EM-1141,"Opaque, flat, irregular",304-2,2015.4
2015-11-25T00:00:00Z,EM-1141,"Opaque, flat, irregular",304-5,2015.4
2015-11-25T00:00:00Z,EM-1142,"Cream, irregular, wrinkled",304-2,2015.4
2015-11-25T00:00:00Z,EM-1143,"Red, raised, irregular",304-2,2015.4
2015-11-25T00:00:00Z,EM-1144,"Orange, convex, circular",304-F1,2015.4
2015-11-24T00:00:00Z,EM-1146,"White, flat, circular",301-1,2015.4
2015-11-24T00:00:00Z,EM-1146,"White, flat, circular",301-3,2015.4
2015-11-24T00:00:00Z,EM-1146,"White, flat, circular",301-F1,2015.4
2015-11-24T00:00:00Z,EM-1146,"White, flat, circular",302-2,2015.4
2015-11-24T00:00:00Z,EM-1146,"White, flat, circular",302-3,2015.4
